table_name       column_name  domain_name width scale nulls default       
mfgcosts         mcstarthour  time            8     0 Y     (NULL)        
mfgcosts         mcendhour    time            8     0 Y     (NULL)        
mfgcosts         mcfinish     timestamp       8     0 Y     (NULL)        
mfgcosts         mcpaid       numeric        12     0 N     0             
mfgcosts         mctask       char            4     0 Y     (NULL)        
mfghbatch        mhmhcode     numeric         6     0 N     (NULL)        
mfghbatch        mhline       numeric         3     0 N     (NULL)        
mfghbatch        mhinmodif    char            1     0 N     'N'           
mfghbatch        mhqtybatchex numeric         5     0 N     0             
mfghead          mhcode       numeric         6     0 N     (NULL)        
mfghead          mhstatus     char            1     0 N     (NULL)        
mfghead          mhitem       char           20     0 N     (NULL)        
mfghead          mhrelqty     numeric        12     3 N     (NULL)        
mfghead          mhreqqty     numeric        12     3 N     (NULL)        
mfghead          mhreldat     timestamp       8     0 N     (NULL)        
mfghead          mhreqdat     timestamp       8     0 N     (NULL)        
mfghead          mhmfgdat     timestamp       8     0 N     (NULL)        
mfghead          mhmfgqty     numeric        12     3 N     (NULL)        
mfghead          mhitemseq    numeric         4     0 Y     (NULL)        
mfghead          mhcmntrel    long varcha 32767     0 Y     (NULL)        
mfghead          mhlotmfg     char           30     0 Y     (NULL)        
mfghead          mhmalloc     numeric        11     2 Y     (NULL)        
mfghead          mhmreal      numeric        11     2 Y     (NULL)        
mfghead          mhlalloc     numeric        11     2 Y     (NULL)        
mfghead          mhlreal      numeric        11     2 Y     (NULL)        
mfghead          mhtype       char            1     0 Y     (NULL)        
mfghead          mhprint      char            1     0 Y     (NULL)        
mfghead          mhsubc       char            1     0 Y     (NULL)        
mfghead          mhpghid      numeric         6     0 Y     (NULL)        
mfghead          mhpgline     numeric         4     0 Y     (NULL)        
mfghead          mhbomtyp     char            1     0 Y     (NULL)        
mfghead          mhsalhead    numeric         6     0 Y     (NULL)        
mfghead          mhsalline    numeric         4     0 Y     (NULL)        
mfghead          mhealloc     numeric        11     2 Y     (NULL)        
mfghead          mhereal      numeric        11     2 Y     (NULL)        
mfghead          mhqcip       numeric         8     0 Y     (NULL)        
mfghead          mhexpdat     timestamp       8     0 Y     (NULL)        
mfghead          mhlotprt     char           20     0 Y     (NULL)        
mfghead          mhclosdat    timestamp       8     0 Y     (NULL)        
mfghead          mhfileref    numeric         4     0 Y     (NULL)        
mfghead          mhfileline   numeric         4     0 Y     (NULL)        
mfghead          mhmfgcostqty numeric        12     4 Y     (NULL)        
mfghead          mhmfgnqualqt numeric        12     4 Y     (NULL)        
mfghead          mhmfgcost    numeric        12     4 Y     (NULL)        
mfghead          mhdecla      char            1     0 Y     (NULL)        
mfghead          mhmfgqtyqty  numeric        12     4 Y     (NULL)        
mfghead          mhcustof     numeric         6     0 Y     (NULL)        
mfghead          mhblocked    char            1     0 Y     (NULL)        
mfghead          mhmcdomaker  varchar        10     0 Y     (NULL)        
mfghead          mhpaid       numeric        12     0 N     0             
mfghead          mhqtybybatch numeric         7     2 N     0             
mfghead          mhrefint     varchar        60     0 Y     ''            
mfghead          mhdlcmp      numeric         1     0 Y     0             
mfghead          mhfabdvrg    char            1     0 Y     'N'           
mfglallocs       mlcode       numeric         6     0 N     (NULL)        
mfglallocs       mlitemseq    numeric         5     0 N     (NULL)        
mfglallocs       mlline       numeric         5     0 N     (NULL)        
mfglallocs       mlstatus     char            1     0 N     (NULL)        
mfglallocs       mlitem       char           20     0 N     (NULL)        
mfglallocs       mlbomqty     numeric        12     3 N     (NULL)        
mfglallocs       mllallocqty  numeric        12     3 N     (NULL)        
mfglallocs       mlpallocqty  numeric        12     3 Y     (NULL)        
mfglallocs       mlissuedqty  numeric        12     3 Y     (NULL)        
mfglallocs       mlpallocseq  numeric         4     0 Y     (NULL)        
mfglallocs       mlcomment    char           60     0 Y     (NULL)        
mfglallocs       mlpalloctyp  char            1     0 Y     (NULL)        
mfglallocs       mlctrl       char            1     0 Y     (NULL)        
mfglallocs       mldelalloc   numeric        12     3 Y     (NULL)        
mfglallocs       mlwcreqs     numeric         4     0 Y     (NULL)        
mfglallocs       mloneemp     char            1     0 Y     (NULL)        
mfglallocs       mlloc        char            8     0 Y     (NULL)        
mfglbatch        mlmhcode     numeric         6     0 N     (NULL)        
